anio;provincia_id;provincia_nombre;departamento_id;departamento_nombre;localidad_id;localidad_nombre;superficie_ha;﻿pais_id;pais_productor;provincia_id_1;provincia_productora;departamento_id_1;departamento_productor;localidad_productora;año_cosecha;quintales_producidos;rendimiento_kg_ha
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;236;1,7053255293
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;246.4;1,7804754679
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;49822.55;360,0155358046
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;138356.7;999,7593756774
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;358.42;2,5899270178
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;194.6;1,4061709661
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;5677.5;41,0253631043
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;8544.72;61,7437676133
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;4627.9;33,4410000723
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;2963.15;21,4115904328
2015;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;138.39;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2015;45526.76;328,9743478575
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;747.6;5,4613193075
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;156820.79;1145,5971217766
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;207.6;1,5165461319
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;1678.4;12,2609394404
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;47827.04;349,3830082548
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;4360.6;31,8547739061
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;2619.6;19,1365329827
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;2202.6;16,0902914749
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;4537.4;33,1463218643
2016;50;Mendoza     ;50105;San Rafael        ;50105210;San Rafael            ;136.89;32;Argentina;50;Mendoza     ;105;San Rafael            ;San Rafael              ;2016;1271.8;9,290671342
